prof,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13
ANHEIER,0.10742542811012482,0.026417186223021243,0.051474089849766785,0.05986531953906676,0.033113546141321316,0.058691118320675625,0.02864943592264877,0.15326144614182102,0.08226281208382548,0.03376386424233645,0.146763050212936,0.06135817823284709,0.07876491582503865,0.0781896087257631
BRYSON,0.09524423284698262,0.045108065002670256,0.052373288209117456,0.04730938358206772,0.23955109640947506,0.025332481323929595,0.02432308982252705,0.038454387305378514,0.029372950381402224,0.26417489909460307,0.025536915651172946,0.019430114102222566,0.04242085048995184,0.05136824479019587
CALI,0.012388621372757229,0.00948389072403949,0.015068472858245373,0.5688906914838056,0.037478019728756175,0.01656493858607975,0.011021268789494153,0.014856097569726312,0.06489762015568595,0.0069521516182936595,0.013001702849987194,0.012881841848546271,0.05384188756265548,0.16267279394519232
CINGOLANI,0.0948493591498845,0.04870766957865268,0.040742421404684086,0.05367453064718569,0.06228266247380811,0.049010795198478216,0.0554503303012097,0.10937763138426813,0.1591005315486654,0.0488152736499614,0.05732499100663513,0.14333961398879178,0.03800663579368116,0.039317554346416685
CIS,0.05407397413528429,0.0515681125727036,0.05483975895711996,0.0860381577123269,0.24950438677743336,0.05455528031831579,0.030081610787807918,0.04028632920850038,0.1303730968525552,0.0719634036944634,0.03315254668485025,0.048451808956955784,0.03927972190363908,0.05583181261622373
COSTELLO,0.015162496435525752,0.011069406925407919,0.01581822574273745,0.4365254781611096,0.0397314978112838,0.029118794279818033,0.013325043774036482,0.02325477534199607,0.06400358194716277,0.009794500335099765,0.024003493314125258,0.016494850141043953,0.0834339587223217,0.2182638964342786
FLACHSLAND,0.051285799429804685,0.03463627867488361,0.03338248306087525,0.029385339946322902,0.03071795596334268,0.02652475422783022,0.3818756560601844,0.050861079807498995,0.07889514705940534,0.053300037071401976,0.08774137312116619,0.05179053635626379,0.04839150010178147,0.04121205955896347
GRAF,0.03916030465799064,0.032452371711468406,0.07309386821974634,0.04126109798084642,0.022667821674200266,0.03043206582934954,0.05058866317444765,0.05590335446202233,0.03317765012170694,0.03665248383392295,0.2981679350345303,0.03661648303283838,0.11735071417454422,0.13247518739198724
HALLERBERG,0.020132370026680852,0.09403157911000608,0.0396064679159851,0.04428065845025814,0.03215708057457991,0.14191645343024722,0.1781365038180118,0.02623878868139856,0.11963055523628108,0.022878552151972226,0.032862147620106044,0.16526074756436163,0.04302725654218767,0.03984083992459685
HAMMERSCHMID,0.05166252751062865,0.024565501489173865,0.045518065871013334,0.037130632825816,0.02389418029464205,0.03346710259678962,0.039708749046829396,0.10837173419114865,0.09007799375711353,0.047430123239775544,0.035016139308733076,0.38696816210213447,0.04260953260988112,0.03357955745536434
HASSEL,0.04318699893281109,0.04619248883922938,0.0863052052520625,0.046104427687685204,0.02850712981758661,0.052472725810395,0.08834767157826377,0.06045549264481722,0.08822764129453366,0.03628784268852603,0.1817627634344317,0.10104203715165302,0.07009255594567194,0.07101501846933646
HIRTH,0.01560789374132486,0.03150903651395951,0.03234626932496867,0.01786009210588959,0.015282825785887279,0.0261404205686807,0.10369270195333594,0.018797145571847914,0.03083739732224236,0.02199493801721276,0.5902099851857383,0.018854907303210725,0.0468081843228792,0.030058200969630616
HUSTEDT,0.04203623328896712,0.02189227517831553,0.032271602612653175,0.039794222572632876,0.02844821651326047,0.027363402509416067,0.052216867925063117,0.09512537482291569,0.12441913905427285,0.0751151032774706,0.0324892359528413,0.32762929174805333,0.05459557617092847,0.04660345993735232
IACOVONE,0.03736038867653704,0.13727005051335364,0.04746227320754784,0.021101065851550662,0.028653345851387204,0.43019932682385137,0.05742787204298541,0.0419834183778732,0.020627502812195976,0.02229998912787508,0.07294493856560383,0.02478605427428793,0.038063426703473575,0.01982034716492075
JACHTENFUCHS,0.02299887000206996,0.020700084606785494,0.020661142153235532,0.08443858283571895,0.03491182026605548,0.014520685368356276,0.03958473736868019,0.022960087997713423,0.5768304850610618,0.0150541492716561,0.02804695717663535,0.054898881360601885,0.02613377424959949,0.038259741463340206
JANKIN,0.0637909799358159,0.11617716884037897,0.051144915815247605,0.05199471752970249,0.13668260426167106,0.047425310663446595,0.12003694222486598,0.047893120225632045,0.0702181001093213,0.09135282883266876,0.04013735537833451,0.07242985382177625,0.04364101941630039,0.047075084324558494
KAYSER,0.03429098480816823,0.3990430948313723,0.041254141982783994,0.05048036342201577,0.035930793900699864,0.06539692359029164,0.10359664686623829,0.0415315855270713,0.03561507697857615,0.02047090530095317,0.0351060793470552,0.0559012502440944,0.04384969897152605,0.03753245288431275
KREYENFELD,0.013520937818412303,0.01353804549895177,0.7778584706446816,0.0201013152563621,0.02084332636065566,0.026049919538021472,0.01211852300686817,0.009860587402832672,0.009822998494717182,0.017491412372656875,0.03681623722922293,0.009328763459251887,0.016819527518847213,0.015829935758618678
MAIR,0.3028107478195324,0.0197095521408289,0.03462571347714153,0.030909644717329876,0.02070335642280348,0.034479407775081995,0.01566834149316237,0.34587669072528265,0.02668226955123927,0.052373443193245266,0.05226428508619715,0.026073459716716763,0.01738797828328438,0.020435106289690894
MENA,0.195297804747679,0.025571232724482182,0.029375896920932076,0.037427524522865914,0.046232407804342256,0.027713305003028606,0.028535184832097063,0.21574969383439596,0.04146643976872534,0.15973964720693626,0.04250224893232819,0.03606930052316098,0.05856843377512173,0.05575087972948719
MUNGIU-PIPPIDI,0.07064051995955907,0.03806036284883753,0.04074219540431294,0.11889496101212757,0.07427483733763225,0.051507467865065916,0.04749435602259457,0.07539892881236473,0.1273068756504049,0.04727001773338873,0.04546529479017704,0.08364648574147734,0.07979937836164001,0.09949831899287637
MUNZERT,0.03609679320200356,0.27440835075829956,0.08009024683564187,0.051455345615229596,0.08082280874830984,0.06260523435245567,0.041649741559704065,0.02313082142949978,0.025425552117660895,0.05377451323144573,0.024027524081911333,0.06051608512906382,0.10139153703208176,0.08460544557915728
PATZ,0.044950155404277395,0.03990293652865825,0.04925166842196896,0.08586418338889185,0.07895755889846592,0.030761699463512628,0.05519192062909829,0.05712958039035807,0.2501776591862045,0.03947090023448146,0.039855973575624426,0.10105855619515605,0.055137384368063015,0.07228982207295981
REH,0.03338585128750354,0.04423073109080029,0.030818718623853925,0.14443320116689914,0.05939872177060394,0.0275598363525013,0.052580610417613804,0.046883107068654305,0.26249940463978993,0.02771759030507186,0.036389135777120024,0.10408065356252907,0.0480201620774,0.08200228063107808
ROEMMELE,0.04136775114715501,0.08805576947748757,0.039565632427417216,0.05143585907403162,0.07274686304138714,0.06072701869064697,0.0415367398105775,0.04453005535552,0.047862564945626115,0.05315317547950203,0.029525759326065576,0.23173043295792167,0.12109888474345107,0.07666349145639628
SHAIKH,0.040099776054344755,0.07768108286325054,0.2906092486025679,0.03358619112257765,0.05696666873482043,0.09240533673492161,0.1285187924645498,0.021974091039122318,0.018685955569091868,0.07290792539349476,0.059478170986079645,0.020706012820969687,0.046357156734484255,0.04002358960083536
SNOWER,0.27229364673627604,0.030441708388129863,0.04540710133475676,0.034917505798863775,0.06707507936923304,0.05095326887734661,0.03898557791758237,0.19721061849673063,0.04061670339508577,0.06208185664506028,0.06239674545881401,0.02383900400330101,0.03374656359655238,0.04003462259395577
STOCKMANN,0.08498421289607191,0.07068185947840229,0.05752077370858989,0.06133021992963117,0.1513811852310027,0.06063033146334265,0.042503391209788736,0.05776260316480749,0.08550939471570868,0.09547632400809153,0.03811380704510657,0.10007063711934981,0.04592629407482788,0.04810896500428291
TRAXLER,0.0777972482767727,0.07960837919564598,0.10149565118783428,0.03801347208171524,0.13525158548371127,0.27554409988451495,0.049247885357664195,0.030912829456502724,0.022153987664089856,0.0686239980197117,0.03513910650096737,0.024720275582017313,0.03465806966185112,0.02683340959300717
WEGRICH,0.053238907678431716,0.043691932879705554,0.03801281737984943,0.05261957502687283,0.048505101574435966,0.038777201054747336,0.04641354249626218,0.11728999962816171,0.10796098757278468,0.06659638773442655,0.036452920990270206,0.20603163813174516,0.07602170761251752,0.06838727810456488
